Event Name,Log Source,Event Count,Start Time,Low Level Category,Source IP,Source Port,URL (custom),Destination IP,Destination Port,Username,Magnitude
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:15 PM","Information","10.6.162.46","50075","cloud-ec-asn.amp.cisco.com:443/","52.6.103.57","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:15 PM","Information","10.6.162.46","50074","github.com:443/","192.30.253.112","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:11 PM","Access Permitted","10.6.162.46","49953","mpgops.service-now.com:443/","149.96.33.210","443","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:45:09 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.225.206.153","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy1","1","Sep 27, 2019, 12:44:38 PM","Access Permitted","10.6.162.46","49976","N/A","10.153.189.23","443","N/A","6"
"TCP_DENIED","Bluecoat Logs - rfpproxy1","1","Sep 27, 2019, 12:44:16 PM","Access Denied","10.6.162.46","50017","client.wns.windows.com:443/","52.230.222.68","443","N/A","8"
"TCP_DENIED","Bluecoat Logs - rfpproxy1","1","Sep 27, 2019, 12:44:16 PM","Access Denied","10.6.162.46","50017","client.wns.windows.com:443/","52.230.222.68","443","N/A","8"
"TCP_DENIED","Bluecoat Logs - rfpproxy1","1","Sep 27, 2019, 12:44:16 PM","Access Denied","10.6.162.46","50017","client.wns.windows.com:443/","52.230.222.68","443","dnycte1026$","8"
"TCP_DENIED","Bluecoat Logs - rfpproxy1","1","Sep 27, 2019, 12:44:16 PM","Access Denied","10.6.162.46","50015","client.wns.windows.com:443/","52.230.222.68","443","dnycte1026$","8"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:44:14 PM","Access Permitted","10.6.162.46","49983","N/A","52.6.103.57","443","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:44:07 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.225.64.153","443","N/A","6"
